"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
3	"C4H2N2O4S3"	"[M + H3N + H]+"	"C4H6N3O4S3+"	"Alkaloids"	0.7	"Nicotinic acid alkaloids"	0.644	"Pyridine alkaloids"	0.648	"Organoheterocyclic compounds"	0.776	"Heteroaromatic compounds"	0.709	NA	NA	NA	NA	"Heteroaromatic compounds"	0.709	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	255.952	20	0.333	707666734361224320	707666495214580480	7	NA	7
5	"C11H9N5O2"	"[M + H3N + H]+"	"C11H13N6O2+"	"Alkaloids"	0.894	"Pseudoalkaloids (transamidation)"	0.891	"Purine alkaloids"	0.962	"Organoheterocyclic compounds"	0.998	"Diazines"	0.847	"Pyrimidines and pyrimidine derivatives"	0.702	NA	NA	"Pyrimidines and pyrimidine derivatives"	0.702	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	261.11	20	0.334	707666727566451456	707666498775544832	81	NA	81
2	"C3H3F2NO"	"[M + Na]+"	"C3H3F2NNaO+"	"Fatty acids"	0.93	"Fatty acyls"	0.271	"Halogenated fatty acids"	0.85	"Organic nitrogen compounds"	0.941	"Organonitrogen compounds"	0.945	"Organic cyanides"	0.563	"Nitriles"	0.537	"Nitriles"	0.537	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Nitriles; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.008	20	0.338	707666765331966848	707666495357186816	9	NA	9
2	"C13H14O5"	"[M - H2O + H]+"	"C13H13O4+"	"Polyketides"	0.685	"Macrolides"	0.18	"2-pyrone derivatives"	0.143	"Organic acids and derivatives"	0.899	"Carboxylic acids and derivatives"	0.825	"Carboxylic acid derivatives"	0.537	NA	NA	"Carboxylic acid derivatives"	0.537	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	233.079	20	0.341	707666725314110080	707666498716824576	79	NA	79
1	"C4H6N2O3S"	"[M + K]+"	"C4H6KN2O3S+"	"Amino acids and Peptides"	0.398	"Histidine alkaloids"	0.501	"Imidazole alkaloids"	0.508	"Organic acids and derivatives"	0.933	"Carboxylic acids and derivatives"	0.888	"Carboxylic acid derivatives"	0.486	"Carboxylic acid amides"	0.346	"Acetamides"	0.68	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	200.973	20	0.341	707666730124977024	707666499069146112	90	NA	90
1	"C4H5BrF3NO2"	"[M + H]+"	"C4H6BrF3NO2+"	"Fatty acids"	0.937	"Fatty Acids and Conjugates"	0.912	"Halogenated fatty acids"	0.993	"Organic acids and derivatives"	0.763	"Carboxylic acids and derivatives"	0.756	"Carboxylic acids"	0.556	NA	NA	"Carboxylic acids"	0.556	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl bromides; Alkyl fluorides; Carboxylic acids; Organobromides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	235.952	21	0.347	707666740682040960	707666496212824832	20	NA	20
8	"C4H4Cl2N2O2S"	"[M + H3N + H]+"	"C4H8Cl2N3O2S+"	"Alkaloids"	0.23	"Histidine alkaloids"	0.237	"Imidazole alkaloids"	0.234	"Organohalogen compounds"	0.995	"Aryl halides"	0.82	"Aryl chlorides"	0.84	NA	NA	"Aryl chlorides"	0.84	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyl halides; Aryl chlorides; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	231.971	21	0.348	707666770679704832	707666495847920384	15	NA	15
1	"C7H16N2"	"[M + H3N + H]+"	"C7H20N3+"	"Alkaloids"	1	"Ornithine alkaloids"	1	"Polyamines"	1	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.998	"Secondary amines"	0.814	"Dialkylamines"	0.817	"Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	146.165	21	0.349	707666719492416000	707666495990526720	16	NA	16
1	"C7H13N"	"[M + H3N + H]+"	"C7H17N2+"	"Alkaloids"	0.84	"Ornithine alkaloids"	0.319	"Acetate-derived alkaloids"	0.454	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.944	"Tertiary amines"	0.559	"Trialkylamines"	0.628	"Organic compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	129.139	21	0.35	707666715591713024	707666496057635584	17	NA	17
3	"C4H2Cl2O2"	"[M + H3N + H]+"	"C4H6Cl2NO2+"	"Fatty acids"	0.507	"Fatty Acids and Conjugates"	0.294	"Halogenated fatty acids"	0.727	"Organohalogen compounds"	0.998	"Vinyl halides"	0.919	"Vinylogous halides"	0.782	NA	NA	"Vinylogous halides"	0.782	"Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Vinyl chlorides; Vinyl halides; Vinylogous halides; Haloalkenes; Chloroalkenes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	169.978	21	0.351	707666721837031936	707666498117038976	63	NA	63
1	"C7H7AsN2O6"	"[M + K]+"	"C7H7AsKN2O6+"	"Alkaloids"	0.096	"Small peptides"	0.072	"Aminoacids"	0.082	"Organoheterocyclic compounds"	0.967	"Diazines"	0.502	NA	NA	NA	NA	"Diazines"	0.502	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organoarsenic compounds; Organometallic compounds; Diazines; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	328.915	21	0.352	707666735183307904	707666497487893376	47	NA	47
2	"C3H4Cl2O3"	"[M + H]+"	"C3H5Cl2O3+"	"Fatty acids"	0.767	"Fatty Acids and Conjugates"	0.754	"Halogenated fatty acids"	0.968	"Organohalogen compounds"	0.989	"Organochlorides"	0.955	NA	NA	NA	NA	"Organochlorides"	0.955	"Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	158.962	21	0.353	707666755445991680	707666498263839616	66	NA	66
1	"C4H5NO4S"	"[M + Na]+"	"C4H5NNaO4S+"	"Alkaloids"	0.25	"Nicotinic acid alkaloids"	0.084	"Pyridine alkaloids"	0.084	"Organosulfur compounds"	0.706	"Sulfonyls"	0.601	"Sulfonyl isocyanates"	0.561	NA	NA	"Sulfonyl isocyanates"	0.561	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Sulfonyl isocyanates; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	185.984	21	0.356	707666767332649984	707666496338653952	23	NA	23
2	"C5H7Cl2NO3"	"[M + H]+"	"C5H8Cl2NO3+"	"Fatty acids"	0.932	"Fatty Acids and Conjugates"	0.774	"Halogenated fatty acids"	0.983	"Organic acids and derivatives"	0.975	"Carboxylic acids and derivatives"	0.943	"Carboxylic acid derivatives"	0.73	"Carboxylic acid amides"	0.613	"Secondary carboxylic acid amides"	0.515	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	199.988	21	0.356	707666760810506880	707666498356114432	68	NA	68
3	"C2H2Cl2N2O"	"[M + H3N + H]+"	"C2H6Cl2N3O+"	"Fatty acids"	0.752	"Nicotinic acid alkaloids"	0.246	"Halogenated fatty acids"	0.807	"Organohalogen compounds"	0.819	"Organochlorides"	0.576	NA	NA	NA	NA	"Organochlorides"	0.576	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organochlorides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	157.989	21	0.356	707666744649852800	707666496258962176	21	NA	21
2	"C3H3FN2O2S2"	"[M + H3N + H]+"	"C3H7FN3O2S2+"	"Amino acids and Peptides"	0.18	"Fatty acyls"	0.043	"Halogenated fatty acids"	0.019	"Organoheterocyclic compounds"	0.817	"Azoles"	0.543	"Thiadiazoles"	0.597	NA	NA	"Thiadiazoles"	0.597	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Azoles; Sulfonyls; Organofluorides; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	199.996	22	0.36	707666760214915584	707666496464483072	26	NA	26
1	"C2H4Cl2O2"	"[M + H]+"	"C2H5Cl2O2+"	"Fatty acids"	0.985	"Fatty Acids and Conjugates"	0.895	"Halogenated fatty acids"	0.994	"Organohalogen compounds"	0.996	"Alkyl halides"	0.843	"Alkyl chlorides"	0.735	NA	NA	"Alkyl chlorides"	0.735	"Organic compounds; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	130.967	22	0.361	707666753231399040	707666498213507968	65	NA	65
1	"C4H7NO3P2"	"[M + K]+"	"C4H7KNO3P2+"	"Alkaloids"	0.146	"Pseudoalkaloids (transamidation)"	0.12	"Aminoacids"	0.069	"Organic acids and derivatives"	0.847	"Organic phosphonic acids and derivatives"	0.829	"Organic phosphonic acids"	0.748	NA	NA	"Organic phosphonic acids"	0.748	"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	217.952	22	0.361	707666757333428608	707666496422540032	25	NA	25
2	"C4H7Cl2NO2"	"[M + H]+"	"C4H8Cl2NO2+"	"Fatty acids"	0.869	"Fatty Acids and Conjugates"	0.261	"Halogenated fatty acids"	0.932	"Organic acids and derivatives"	0.995	"Carboxylic acids and derivatives"	0.983	"Carboxylic acid derivatives"	0.948	"Carboxylic acid amides"	0.922	"Secondary carboxylic acid amides"	0.822	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	171.993	22	0.363	707666734759683200	707666498167370624	64	NA	64
1	"C4H7Cl2NO"	"[M - H2O + H]+"	"C4H6Cl2N+"	"Fatty acids"	0.852	"Fatty Acids and Conjugates"	0.168	"Halogenated fatty acids"	0.932	"Organic acids and derivatives"	0.992	"Carboxylic acids and derivatives"	0.979	"Carboxylic acid derivatives"	0.952	"Carboxylic acid amides"	0.946	"Secondary carboxylic acid amides"	0.803	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	137.987	22	0.363	707666740644292096	707666497127183232	37	NA	37
1	"C4H3BrO6"	"[M + Na]+"	"C4H3BrNaO6+"	"Fatty acids"	0.608	"Fatty Acids and Conjugates"	0.807	"Halogenated fatty acids"	0.867	"Organic acids and derivatives"	0.959	"Carboxylic acids and derivatives"	0.94	"Carboxylic acids"	0.75	NA	NA	"Carboxylic acids"	0.75	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Carboxylic acids; Organobromides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	248.901	22	0.363	707666748080793600	707666497232040832	40	NA	40
1	"C4H6N3O2"	"[M + Na]+"	"C4H6N3NaO2+"	"Alkaloids"	0.62	"Histidine alkaloids"	0.278	"Imidazole alkaloids"	0.274	"Organoheterocyclic compounds"	0.986	"Azoles"	0.841	"Imidazoles"	0.513	NA	NA	"Imidazoles"	0.513	"Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	151.035	22	0.364	707666715650433280	707666496812610304	31	NA	31
1	"C5H10Cl2N2O"	"[M - H2O + H]+"	"C5H9Cl2N2+"	"Fatty acids"	0.545	"Histidine alkaloids"	0.125	"Halogenated fatty acids"	0.767	"Organic acids and derivatives"	0.791	"Carboxylic acids and derivatives"	0.665	"Carboxylic acid derivatives"	0.602	"Carboxylic acid amides"	0.667	"Acetamides"	0.663	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	167.013	22	0.364	707666723967738496	707666496875524864	32	NA	32
2	"C3H4Cl2O"	"[M + H3N + H]+"	"C3H8Cl2NO+"	"Fatty acids"	0.783	"Fatty acyls"	0.347	"Halogenated fatty acids"	0.896	"Organohalogen compounds"	0.996	"Vinyl halides"	0.516	NA	NA	NA	NA	"Vinyl halides"	0.516	"Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	143.997	22	0.364	707666740447159808	707666496762278656	30	NA	30
2	"C3H5Cl2N"	"[M + H]+"	"C3H6Cl2N+"	"Fatty acids"	0.466	"Fatty acyls"	0.1	"Halogenated fatty acids"	0.523	"Organohalogen compounds"	0.985	"Alkyl halides"	0.708	"Alkyl chlorides"	0.707	NA	NA	"Alkyl chlorides"	0.707	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	125.987	22	0.364	707666752883271808	707666496707752704	29	NA	29
1	"C5H8BrFN2O6"	"[M + Na]+"	"C5H8BrFN2NaO6+"	"Fatty acids"	0.754	"Fatty Acids and Conjugates"	0.773	"Halogenated fatty acids"	0.966	"Lipids and lipid-like molecules"	0.676	"Fatty Acyls"	0.596	"Fatty acids and conjugates"	0.595	"Halogenated fatty acids"	0.593	"Halogenated fatty acids"	0.593	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Halogenated fatty acids; Alkyl fluorides; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Organobromides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	312.943	22	0.364	707666755030755584	707666497051685760	35	NA	35
3	"C4H5BrN2O4S"	"[M + H3N + H]+"	"C4H9BrN3O4S+"	"Alkaloids"	0.315	"Histidine alkaloids"	0.11	"Halogenated fatty acids"	0.43	"Organoheterocyclic compounds"	0.753	"Azacyclic compounds"	0.629	NA	NA	NA	NA	"Azacyclic compounds"	0.629	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	273.949	22	0.365	707666772906880384	707666497303344000	42	NA	42
1	"C8H8BrN2O2PS"	"[M - H2O + H]+"	"C8H7BrN2OPS+"	"Alkaloids"	0.711	"Proline alkaloids"	0.305	"Pyrrole alkaloids"	0.305	"Organohalogen compounds"	0.996	"Aryl halides"	0.977	"Aryl bromides"	0.991	NA	NA	"Aryl bromides"	0.991	"Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl bromides; Organobromides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	288.919	22	0.371	707666760143612416	707666498423223296	70	NA	70
