row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_000036_01_01.mzML Peak area,20250402_PMA_tp24_000037_01_01.mzML Peak area,20250402_PMA_tp24_000038_01_02.mzML Peak area,20250402_PMA_tp24_000039_01_01.mzML Peak area,20250402_PMA_tp24_000040_01_01.mzML Peak area,20250402_PMA_tp24_000041_01_01.mzML Peak area,20250402_PMA_tp24_000042_01_01.mzML Peak area,20250402_PMA_tp24_000043_01_01.mzML Peak area,20250402_PMA_tp24_000044_01_01.mzML Peak area,20250402_PMA_tp24_000046_01_01.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_arabido_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_00.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_01.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_02.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_03.mzML Peak area,20250402_PMA_tp24_qc_arabidopsis_04.mzML Peak area,Unnamed: 32
11,148.01878612969276,0.3313722,height,,,,,,,,,,,507079.44,249047.7,552511.0,210392.92,222122.17,278236.6,256049.98,294735.3,320333.66,205902.0,5004582.0,4525522.5,5265825.0,4759644.5,610088.3,616604.56,576421.56,565210.44,462591.84,
12,176.013751124148,0.330199,height,,,,,,,,,,,397473.34,167522.02,407997.44,136006.56,164327.53,190835.95,153225.73,204568.53,0.0,132654.67,3662329.8,3340719.2,3689881.2,3215166.8,421099.28,371853.75,416581.47,394159.0,322650.6,
13,199.029774279012,0.33243716,height,,,,,,,,,,,319164.12,0.0,355406.66,137217.4,146022.7,0.0,155630.34,0.0,208538.39,128147.08,3204496.2,2959938.8,2921534.5,2526781.0,372031.38,307244.03,341187.75,349465.66,324403.1,
14,267.90196160042325,0.3351013,height,,,,,,,,,,,8305425.5,4961470.5,7430484.0,6287988.5,5628847.0,5647086.0,6168873.0,5869693.0,7519847.5,4218793.5,1577702.2,1620719.4,1790352.6,1214179.1,6620353.5,6528146.0,6995726.0,6621244.0,7171147.0,
15,231.97113826970417,0.34815574,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155855.0,2088809.0,1955085.8,1526352.2,0.0,0.0,0.0,0.0,0.0,
16,146.16542194287246,0.34862772,height,,,,,,,,,,,0.0,56087030.0,945909.1,65194580.0,71212640.0,55191092.0,29011802.0,7530768.5,46509252.0,59741970.0,0.0,0.0,0.0,0.0,7423682.0,9835175.0,11009020.0,12274134.0,14072754.0,
17,129.13886122836462,0.34959257,height,,,,,,,,,,,0.0,8444935.0,0.0,10177264.0,10762070.0,8247618.0,4346569.5,1038107.1,6765284.5,8442941.0,0.0,0.0,0.0,0.0,1105481.6,1525402.8,1543445.5,1646218.2,2140310.5,
18,251.92959650012415,0.34621793,height,,,,,,,,,,,974142.7,1702119.4,1362608.6,1299633.9,2018813.8,2012502.8,1072296.0,1216138.8,1237543.4,1913242.1,2151344.8,2129165.0,1977543.4,1221894.6,1161701.1,1183485.6,1464628.8,1400117.5,1578806.9,
19,139.98759909381806,0.31627136,height,,,,,,,,,,,1222346.4,1329849.1,0.0,1415044.2,1398698.4,1231030.2,1307239.9,1297699.5,0.0,1244226.0,2550319.5,2432167.0,3551938.5,16329374.0,1409130.1,1384927.6,1371318.2,0.0,0.0,
20,235.95217445736344,0.34662694,height,,,,,,,,,,,315109.78,1001165.6,350934.03,982516.56,1284405.0,1339392.8,805543.8,1003502.4,706386.06,1039122.5,993401.1,1026422.5,1793269.4,3311652.2,615150.44,519550.53,805213.4,704598.56,731714.8,
21,157.989220227389,0.35627547,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470791.06,540955.94,910374.4,5087397.0,0.0,0.0,0.0,0.0,0.0,
22,162.96772665471397,0.3583442,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591845.9,499434.44,923699.94,5311816.5,0.0,0.0,0.0,0.0,0.0,
23,185.98362309137477,0.35544243,height,,,,,,,,,,,528540.0,727304.2,484740.03,1291823.2,996024.6,1033199.44,731466.5,652992.06,0.0,960900.6,6192607.0,5731606.5,9007200.0,53168180.0,297328.22,0.0,0.0,485301.0,731264.6,
24,223.929042393904,0.35627547,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5509179.5,6106928.5,4873103.5,4724903.5,0.0,0.0,0.0,0.0,0.0,
25,217.95188595861512,0.36113334,height,,,,,,,,,,,0.0,0.0,0.0,0.0,685095.44,750173.94,0.0,0.0,0.0,977388.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,199.99620627851675,0.3603551,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773361.75,814334.7,742618.25,449099.25,0.0,0.0,0.0,0.0,0.0,
27,182.9027333456781,0.35627547,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296693.8,2335446.0,2180231.2,1966135.2,0.0,0.0,0.0,0.0,0.0,
28,145.03550363705736,0.325518,height,,,,,,,,,,,291955.38,0.0,276627.66,303017.3,0.0,264047.66,330175.56,1148428.1,305903.28,275621.6,4992137.5,5032087.5,6097706.5,5688595.0,341794.47,299425.34,0.0,339965.8,0.0,
29,125.98650542104345,0.36363897,height,,,,,,,,,,,76298890.0,197240180.0,119600150.0,130931340.0,150618900.0,144835740.0,100051976.0,102658880.0,102922350.0,183148830.0,9398326.0,9137910.0,10883575.0,11330265.0,127789850.0,128430800.0,136291260.0,128240540.0,125164490.0,
30,143.9970168012485,0.36363897,height,,,,,,,,,,,13012944.0,38955236.0,19768178.0,26424690.0,30837118.0,29806388.0,18029174.0,21097566.0,19788040.0,37841388.0,2486177.8,2490642.0,3250322.8,3237975.8,24021152.0,24322798.0,25346776.0,25059440.0,22298576.0,
31,151.03547595479702,0.36363897,height,,,,,,,,,,,47088704.0,172125710.0,64029824.0,147277090.0,162747040.0,148902380.0,135058260.0,113999370.0,126839130.0,180263460.0,7448065.5,7466024.0,14806308.0,45565070.0,97168580.0,97430584.0,108950490.0,106192900.0,102981810.0,
32,167.0130305983827,0.36363897,height,,,,,,,,,,,81807256.0,228573120.0,130674980.0,154255120.0,185574910.0,171866800.0,111219480.0,126223336.0,120778870.0,235077460.0,15265413.0,15264829.0,16285497.0,16101259.0,140414130.0,142171800.0,154267300.0,148461570.0,145877800.0,
33,128.01958145068656,0.36322415,height,,,,,,,,,,,4145768.2,17072906.0,5417130.0,15645733.0,15663101.0,14851161.0,13102092.0,10498462.0,11299130.0,16756041.0,646087.25,716294.25,1918627.1,6088064.5,9264830.0,9831866.0,11718016.0,10086999.0,9855775.0,
34,271.9164549254488,0.36363897,height,,,,,,,,,,,101234240.0,211979420.0,154503170.0,155387580.0,174110110.0,177494500.0,128608380.0,138553940.0,137292900.0,193493390.0,777403.94,720378.06,668261.94,428579.5,163235250.0,162085140.0,167262830.0,160280620.0,166946100.0,
35,312.94307038863195,0.36364478,height,,,,,,,,,,,43835830.0,102240480.0,67971730.0,75286890.0,88196410.0,82869304.0,55926590.0,67691784.0,61253616.0,99213180.0,441235.8,429188.8,419910.16,243618.73,75812090.0,73940740.0,78726330.0,74743100.0,76120520.0,
36,130.01692780870792,0.36416018,height,,,,,,,,,,,935228.56,2919415.0,963822.0,3208140.0,3033105.2,2818879.5,2278871.0,2102568.8,2214828.8,2947754.2,136999.89,0.0,298766.1,1083445.5,1815565.2,2131910.2,2277847.8,2013890.4,1825970.2,
37,137.987487834782,0.36272752,height,,,,,,,,,,,29978536.0,19383132.0,33025764.0,24101878.0,19119214.0,21768722.0,25591186.0,24239728.0,25654366.0,15453177.0,2066040.0,1802094.1,2793374.8,2345164.0,28054796.0,28171832.0,28475448.0,29849278.0,31910266.0,
38,157.083588941147,0.32769394,height,,,,,,,,,,,167455.77,259676.55,146252.08,331054.84,243550.94,215043.55,277306.28,172102.94,153296.77,126046.016,180467.25,684515.25,3311931.0,2129906.5,442512.8,388175.28,339790.53,184644.6,0.0,
39,230.88995149413836,0.36507767,height,,,,,,,,,,,16164769.0,31544220.0,24800544.0,23014420.0,26222532.0,28408948.0,19512498.0,19932646.0,20481524.0,28227504.0,0.0,0.0,0.0,0.0,24015718.0,25027866.0,25138828.0,24617746.0,26350454.0,
40,248.900668553011,0.3632246,height,,,,,,,,,,,20192758.0,45246984.0,33011074.0,32172138.0,38122816.0,40158680.0,26863628.0,28908150.0,26875446.0,38450028.0,175945.05,182620.61,170509.77,127755.33,35165456.0,34336756.0,33920636.0,34412624.0,36354548.0,
41,255.9385704246176,0.36507767,height,,,,,,,,,,,22095382.0,52825740.0,26413004.0,49421884.0,52565510.0,52996010.0,56641252.0,44641572.0,52233124.0,48713904.0,0.0,0.0,0.0,0.0,38159536.0,37695516.0,41125904.0,39639064.0,42040804.0,
42,273.949450241807,0.36507767,height,,,,,,,,,,,8072839.5,24101094.0,9983761.0,22854900.0,25225680.0,23885570.0,23750878.0,20446330.0,21277982.0,23800036.0,0.0,0.0,0.0,0.0,15236722.0,15242536.0,17674362.0,17723088.0,16642785.0,
43,296.9655804770658,0.36560255,height,,,,,,,,,,,21667520.0,65842540.0,28971674.0,61392256.0,63983430.0,61719756.0,60554236.0,51767668.0,57084516.0,64338270.0,0.0,0.0,0.0,0.0,42939676.0,42183540.0,44886024.0,43363384.0,43711348.0,
44,300.9206568433434,0.36560255,height,,,,,,,,,,,73638570.0,26264662.0,71790590.0,34659972.0,23959914.0,29504142.0,39438990.0,36402476.0,56144064.0,18128100.0,0.0,0.0,0.0,0.0,56454144.0,55195772.0,60593396.0,53809828.0,54602650.0,
45,305.89961604380625,0.36560255,height,,,,,,,,,,,76533880.0,27085182.0,76961064.0,35751904.0,24713290.0,29639490.0,46033516.0,37943692.0,57937052.0,17314772.0,0.0,0.0,0.0,0.0,59650164.0,58736220.0,59787030.0,55726036.0,56947896.0,
46,326.9201767782375,0.36560255,height,,,,,,,,,,,97867370.0,34329908.0,96249890.0,45766730.0,29730632.0,39454284.0,53552524.0,46853012.0,73182950.0,24148198.0,0.0,0.0,0.0,0.0,73439016.0,68480520.0,79128250.0,68497480.0,69446600.0,
47,328.91526937732846,0.35216677,height,,,,,,,,,,,756018600.0,274825120.0,745173250.0,367919040.0,256525040.0,305435260.0,425232400.0,376940670.0,593423200.0,190806930.0,153663.08,160389.81,184956.77,0.0,586844500.0,578093300.0,614727740.0,560172700.0,548699900.0,
48,505.7493041617256,0.36560255,height,,,,,,,,,,,46626690.0,9044064.0,39409452.0,16863336.0,9816124.0,10762182.0,21232128.0,20643660.0,30224962.0,6167757.0,0.0,0.0,0.0,0.0,29612994.0,31402100.0,29284940.0,28600022.0,27392130.0,
49,154.99040434451933,0.35181132,height,,,,,,,,,,,617003100.0,317092900.0,611853600.0,374117800.0,305973440.0,349020000.0,386615680.0,366493200.0,504501250.0,252261860.0,2881779.0,2786064.5,3427737.8,2461189.0,512333760.0,513282200.0,567390600.0,517140670.0,500790300.0,
50,224.0118313882717,0.35746276,height,,,,,,,,,,,30429726.0,18014050.0,29854122.0,22704802.0,16651312.0,17798194.0,21180956.0,21128808.0,26318398.0,15163737.0,169216.1,146980.84,246923.25,174260.66,27843922.0,27089322.0,29607690.0,28402950.0,24561534.0,
51,246.8621073151456,0.36612797,height,,,,,,,,,,,57547544.0,18849396.0,59674068.0,24401060.0,18011460.0,24312370.0,32191608.0,27061176.0,43980416.0,13394093.0,0.0,0.0,0.0,0.0,42924290.0,41837644.0,44675170.0,42651184.0,41964776.0,
52,259.89407716010584,0.36612797,height,,,,,,,,,,,43084584.0,13581747.0,41957784.0,16698091.0,12990699.0,17204686.0,22214402.0,20130186.0,31683032.0,9716365.0,0.0,0.0,0.0,0.0,30763996.0,30674112.0,31444156.0,27976980.0,30336354.0,
53,264.8730171829406,0.36612797,height,,,,,,,,,,,77637170.0,27930430.0,82986600.0,34540424.0,24405376.0,36155164.0,42557844.0,36649096.0,55706690.0,17733372.0,0.0,0.0,0.0,0.0,58335524.0,58361670.0,58443356.0,56961388.0,60160052.0,
54,285.89358366836126,0.36612797,height,,,,,,,,,,,84701480.0,29449438.0,87177330.0,39337548.0,27730124.0,34095884.0,49038616.0,41168196.0,65922940.0,18781246.0,0.0,0.0,0.0,0.0,65291012.0,63868370.0,67646540.0,62316960.0,61206660.0,
55,287.8886759531108,0.35906002,height,,,,,,,,,,,681885760.0,235207940.0,694256800.0,303746270.0,216443300.0,272783900.0,385894100.0,321070940.0,526973540.0,154071790.0,0.0,164460.88,164611.81,0.0,526693600.0,505752030.0,533757000.0,495762000.0,502295940.0,
56,359.81865972411526,0.36612797,height,,,,,,,,,,,67513840.0,17930256.0,57803732.0,27276962.0,19633502.0,22620686.0,36520650.0,34060676.0,46620076.0,11819133.0,0.0,0.0,0.0,0.0,47543030.0,45316796.0,44292580.0,43196384.0,45391028.0,
57,128.95104433394474,0.352672,height,,,,,,,,,,,36438740.0,17525724.0,35688036.0,20085774.0,18433884.0,21354722.0,21513724.0,23753988.0,29187452.0,13802638.0,1692270.2,1670968.0,1844325.1,1707019.8,29667038.0,30466074.0,35352844.0,30199968.0,27419290.0,
58,139.96351157336804,0.35583627,height,,,,,,,,,,,60808252.0,29667024.0,61746904.0,34416876.0,26625286.0,29219906.0,39479136.0,33138864.0,50221790.0,22620656.0,206634.67,185672.3,220983.81,169521.16,50781516.0,46241204.0,54172050.0,47860284.0,46970250.0,
59,141.95876158921132,0.35088468,height,,,,,,,,,,,981600060.0,492441340.0,1026185600.0,561911200.0,446078700.0,502166660.0,641146700.0,536559000.0,820790850.0,372509540.0,3201095.5,3136210.2,3641618.8,2522378.2,811778560.0,786146200.0,857285400.0,777999740.0,770024900.0,
60,159.96934927099184,0.35134682,height,,,,,,,,,,,171566110.0,95068056.0,169544700.0,109032984.0,86116360.0,99957390.0,123392880.0,107850296.0,147817100.0,73365260.0,959475.44,1026709.25,1166277.1,804385.56,150364780.0,150342800.0,158614830.0,145639330.0,138810690.0,
61,180.9900915185357,0.35616615,height,,,,,,,,,,,133278700.0,73857480.0,137120740.0,86895976.0,66933332.0,73291010.0,88912136.0,78920010.0,116903640.0,59865764.0,672783.2,612646.4,727398.3,539509.75,113212800.0,112050024.0,120969000.0,113127940.0,106042600.0,
62,182.98531875249083,0.35268342,height,,,,,,,,,,,2130150800.0,1191687300.0,2232891600.0,1366358900.0,1092561500.0,1188426600.0,1459997000.0,1295507600.0,1910530800.0,956432830.0,10345951.0,9754465.0,12173527.0,7709684.0,1867685000.0,1819601300.0,1996163700.0,1828546300.0,1755273200.0,
63,169.9775730044582,0.35086614,height,,,,,,,,,,,78682984.0,33826108.0,64170070.0,38707440.0,34336870.0,39509804.0,41866360.0,43598532.0,62086650.0,27027394.0,2960721.2,2959211.5,3305194.0,3466524.2,58848070.0,60703268.0,71704530.0,57618700.0,52635172.0,
64,171.99313302384928,0.36263904,height,,,,,,,,,,,15340957.0,13575303.0,14192891.0,13143398.0,12472366.0,13824049.0,14255148.0,12177015.0,14429753.0,12690495.0,4590618.5,4283279.0,4922791.0,4599021.0,16267124.0,16231723.0,18834028.0,14470638.0,13467069.0,
65,130.96665597447037,0.36080584,height,,,,,,,,,,,8491833.0,4239687.0,8008391.0,5345852.0,4676609.0,5389358.5,5448028.0,4987730.5,6408173.0,4282988.0,1679596.9,1601258.9,1876942.0,1711519.0,7503080.0,7768064.0,7947049.0,6682307.0,5783026.5,
66,158.96158716816907,0.35337344,height,,,,,,,,,,,46257100.0,33394538.0,45571508.0,33961560.0,32249472.0,35863204.0,40500524.0,31666330.0,44404816.0,28572520.0,13214770.0,12880363.0,14259059.0,13728902.0,46558656.0,44068970.0,48532564.0,42552650.0,38310124.0,
67,186.9565183989386,0.35472527,height,,,,,,,,,,,6216320.5,3810735.8,5940907.0,4467441.0,3901564.0,4396900.5,5432834.0,4432946.0,5030454.5,3493844.0,1812351.9,1820526.5,2011098.4,1900675.9,6151711.5,4669622.0,6114740.5,5196101.0,4643169.5,
68,199.9880652914093,0.35603592,height,,,,,,,,,,,26974658.0,18611614.0,24565710.0,19706722.0,18012352.0,20106122.0,22711450.0,18088548.0,24135288.0,16284537.0,9258255.0,8504792.0,9851466.0,9202485.0,27795878.0,24731270.0,27436054.0,24345432.0,22498756.0,
69,276.8968545995521,0.35557526,height,,,,,,,,,,,35670390.0,17963522.0,32514294.0,22883540.0,18016242.0,21826602.0,26184100.0,23369022.0,30682478.0,15500169.0,786538.8,746291.06,757949.75,526362.94,32318400.0,31685980.0,33847516.0,28039428.0,27359314.0,
70,288.919305296651,0.37056628,height,,,,,,,,,,,2780067.0,5881576.5,2826300.5,4476573.0,5519123.0,5306464.5,3616071.0,3916932.8,3409832.2,5443077.0,3286540.5,3000511.5,3189744.8,2988221.0,4294000.0,4459446.5,5107316.5,4076127.8,4245772.0,
71,176.9721823896284,0.3581916,height,,,,,,,,,,,4535520.5,2865305.0,4139465.0,3833382.0,2962961.8,3620416.0,3834777.5,2944422.5,4268409.0,3031623.0,1962344.2,1869773.5,2230394.5,2156200.0,4146784.0,4424375.0,4775193.5,4110548.8,3743108.0,
72,131.1293835603758,0.37558776,height,,,,,,,,,,,19474064.0,290029470.0,21840242.0,254854770.0,230150820.0,191331280.0,117052130.0,118328824.0,183414240.0,190673420.0,0.0,0.0,0.0,0.0,144659340.0,139459740.0,148934900.0,138753280.0,142688690.0,
73,220.9352237863419,0.3746841,height,,,,,,,,,,,1494829.1,598688.8,1116072.2,713406.8,562132.06,0.0,1022503.9,861798.7,1703229.6,0.0,2252563.8,1921628.8,2050287.6,1958252.6,1367980.6,673782.7,1494184.0,1220889.6,1138248.0,
74,147.11306756695143,0.38012406,height,,,,,,,,,,,848967.8,13255701.0,886303.1,11058423.0,11550587.0,11565330.0,12762698.0,6818018.0,10839066.0,24062150.0,0.0,0.0,0.0,160941.28,4682956.0,6615335.5,6283266.5,7073584.5,7019007.5,
75,133.09740489102091,0.3803287,height,,,,,,,,,,,1518543.8,25376620.0,1359024.2,16316376.0,22280634.0,19882442.0,13880922.0,8392929.0,13076080.0,43195440.0,0.0,0.0,0.0,0.0,13479013.0,12432441.0,10740677.0,14207350.0,13370294.0,
76,242.92609671023547,0.38792163,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5344329.0,0.0,0.0,4460149.5,4858181.0,4527629.5,4706799.0,0.0,0.0,0.0,0.0,0.0,
77,362.9264016446861,0.38720807,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188691.0,6774141.5,6164644.0,6348211.5,0.0,0.0,0.0,0.0,0.0,
78,144.95745626456008,0.38521242,height,,,,,,,,,,,173475.78,0.0,178990.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043585.94,1009942.7,1458038.1,9360315.0,0.0,0.0,0.0,0.0,0.0,
79,233.078783940042,0.34110564,height,,,,,,,,,,,334840.9,575004.75,240546.39,743114.44,520717.9,437218.78,641643.7,296684.66,281074.75,0.0,954122.1,870461.4,8717946.0,5167115.0,1389939.1,1118700.8,927239.6,366273.0,0.0,
80,253.9098302041492,0.32490402,height,,,,,,,,,,,372860.53,386619.28,350121.34,376012.88,410255.1,381852.34,376333.28,0.0,339069.8,355923.22,3743279.2,3483847.8,3500772.0,3338782.0,370347.03,369430.28,401484.62,371231.7,348593.1,
81,261.1100266660405,0.33396944,height,,,,,,,,,,,168091.58,282281.94,0.0,344114.97,258361.84,230389.47,311396.34,0.0,138206.36,0.0,515750.25,442580.38,3574235.2,2175982.8,603044.8,495177.1,432023.34,205123.05,0.0,
82,226.95181166330696,0.38792163,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952245.5,0.0,0.0,29961490.0,26347370.0,25853730.0,29467490.0,0.0,0.0,0.0,0.0,0.0,
83,294.93915815251586,0.38720807,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4502884.5,4067572.0,4062358.0,4644740.5,0.0,0.0,0.0,0.0,0.0,
84,216.92022908039212,0.32816547,height,,,,,,,,,,,385111.2,372994.97,380248.28,394045.97,411873.53,375671.44,395361.88,403841.9,379355.5,376431.7,3789710.8,3608344.0,3797172.8,3295815.5,0.0,407682.78,367565.25,0.0,401392.0,
85,244.91469304387175,0.32983336,height,,,,,,,,,,,347433.44,339133.7,375483.4,342547.75,355083.4,357372.1,334970.53,351948.62,343793.1,346380.16,3832214.2,3652727.8,3922548.5,3474996.5,321286.3,372899.62,0.0,346487.5,337886.5,
86,312.90081632658934,0.34487256,height,,,,,,,,,,,0.0,0.0,0.0,929377.25,899941.6,0.0,0.0,0.0,0.0,0.0,3884769.8,3654141.0,3759667.0,3198822.5,0.0,870083.5,920314.06,0.0,0.0,
87,336.8435283037948,0.3882614,height,,,,,,,,,,,11442307.0,24847650.0,13088399.0,18629930.0,15672589.0,16802370.0,15339259.0,18863762.0,13611808.0,24987174.0,0.0,0.0,0.0,0.0,17475460.0,15134709.0,17428194.0,13417323.0,20340412.0,
88,268.85508889036026,0.3893188,height,,,,,,,,,,,39034324.0,19974880.0,46633330.0,24989740.0,14950705.0,22710432.0,25923758.0,12922523.0,29769800.0,14299194.0,0.0,0.0,0.0,0.0,28262598.0,28392492.0,36981760.0,25308088.0,31223632.0,
89,164.07429226046693,0.3930333,height,,,,,,,,,,,1730032.6,8517013.0,1394910.2,8252769.5,9408810.0,10663760.0,12606457.0,8519149.0,6587808.0,13939304.0,0.0,0.0,0.0,0.0,5055423.0,5563952.0,5127638.5,5427919.0,5489564.0,
90,200.97269744704784,0.34131703,height,,,,,,,,,,,497692.88,718727.4,473244.34,0.0,547512.6,561441.94,522436.1,475698.78,484119.75,738328.6,480663.2,470209.3,1147562.4,2552611.2,664532.3,613558.4,613156.25,480727.25,506634.0,
91,235.05722004525063,0.39621258,height,,,,,,,,,,,514862.06,4304571.0,313170.47,4760399.5,5332338.5,4039900.5,6573342.5,15887366.0,3609801.5,4857717.0,0.0,0.0,0.0,0.0,2952499.0,4149857.5,3306786.5,3631829.8,4518621.5,
92,251.03107569801972,0.39621258,height,,,,,,,,,,,3455382.2,43532750.0,3715241.2,49941170.0,63334388.0,47993760.0,34901430.0,15627420.0,26651224.0,92097390.0,0.0,0.0,0.0,0.0,18630050.0,26158654.0,20971490.0,24837012.0,27499082.0,
93,213.07513579359195,0.3978034,height,,,,,,,,,,,3531708.0,39607876.0,3015156.5,45136076.0,55188012.0,45285600.0,37001236.0,22315888.0,30003612.0,67391520.0,0.0,0.0,0.0,0.0,18703162.0,21548498.0,21656134.0,21525478.0,22299636.0,
94,206.886246860002,0.3930301,height,,,,,,,,,,,15621198.0,31143580.0,21945286.0,23806862.0,25394254.0,26998764.0,13315321.0,7624935.5,10002419.0,38063990.0,0.0,0.0,0.0,0.0,25046748.0,25947570.0,26162296.0,20154510.0,17286516.0,
95,175.11927404558077,0.4001898,height,,,,,,,,,,,35509650.0,345113380.0,27144552.0,413265150.0,470132220.0,440012260.0,404751400.0,301625180.0,380577020.0,491919100.0,207294.5,243399.52,326713.66,1781010.4,190014800.0,194815700.0,205989170.0,217677060.0,216767700.0,
