feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_overallFeatureQuality
16	DDROADVTQNAKPF	sirius	CN(C)CC1CCNC1																																																																																												1.0	1.0	0.217	0.217	-65.866	1.0	0.5	54.397	C7H16N2	[M + H3N + H]+	C7H20N3+	InChI=1S/C7H16N2/c1-9(2)6-7-3-4-8-5-7/h7-8H,3-6H2,1-2H3	(R)-N,N-Dimethyl-1-(pyrrolidin-3-yl)methanamine	CN(C)CC1CCNC1	0.2	14086165;26368555;26368557	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(14086165 26368555 26368557);DSSTox:(DTXSID00555621);PUBMED:(null)	137506062402.0	146.165	21.0	0.349	7.07666719492416e+17	7.076664959905267e+17	
17	IEVJVQXLBZUEMH	isdb	NCCC1CCCCN1																																													-1.0							1.0	0.81472486	ISDB	http://www.wikidata.org/entity/Q105111980	IEVJVQXLBZUEMH-UHFFFAOYSA-N	InChI=1S/C7H16N2/c8-5-4-7-3-1-2-6-9-7/h7,9H,1-6,8H2	NCCC1CCCCN1	C7H16N2		128.131348512	2-Piperidineethanamine	Alkaloids	Pseudoalkaloids	Acetate-derived alkaloids	http://www.wikidata.org/entity/Q2195173	Cymbopogon schoenanthus	913224.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Andropogoneae']	['Cymbopogon']	['Cymbopogon schoenanthus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4.0	0.0	7.258899450302124	1.0																								
17	MVLFZLPESCBBMQ	sirius	C1CN(C1)CC2CC2																																																																																												1.0	1.0	0.457	0.457	-44.239	1.0	0.333	60.633	C7H13N	[M + H3N + H]+	C7H17N2+	InChI=1S/C7H13N/c1-4-8(5-1)6-7-2-3-7/h7H,1-6H2	1-(Cyclopropylmethyl)azetidine	C1CN(C1)CC2CC2	1.1	67325556;154069052	PUBCHEM:(67325556 154069052)	2.0	129.139	21.0	0.35	7.07666715591713e+17	7.076664960576356e+17	
19	DPOKMBBVMINBAF	sirius	CNC(=O)C#CCl																																																																																												1.0	2.0	0.113	0.113	-61.356	0.064	0.198	13.759	C4H4ClNO	[M + Na]+	C4H4ClNNaO+	InChI=1S/C4H4ClNO/c1-6-4(7)2-3-5/h1H3,(H,6,7)	3-chloro-N-methylprop-2-ynamide	CNC(=O)C#CCl	1.0	19434636	PUBCHEM:(19434636)	2.0	139.988	19.0	0.316	7.076667141237065e+17	7.076664961666875e+17	
20	GKMPAMACLNOVMB	sirius	C(C(=O)NOCC(F)(F)F)Br																																																																																												1.0	1.0	-inf	-inf	-103.948	0.572	0.333	33.451	C4H5BrF3NO2	[M + H]+	C4H6BrF3NO2+	InChI=1S/C4H5BrF3NO2/c5-1-3(10)9-11-2-4(6,7)8/h1-2H2,(H,9,10)	2-Bromo-N-(2,2,2-trifluoroethoxy)acetamide	C(C(=O)NOCC(F)(F)F)Br	1.5	81565955	PUBCHEM:(81565955)	2.0	235.952	21.0	0.347	7.07666740682041e+17	7.076664962128248e+17	
21	UHWQOIOKQAAZFT	sirius	C(=C(Cl)Cl)(N)N=O																																																																																												1.0	3.0	0.013	0.013	-46.333	0.233	0.324	27.648	C2H2Cl2N2O	[M + H3N + H]+	C2H6Cl2N3O+	InChI=1S/C2H2Cl2N2O/c3-1(4)2(5)6-7/h5H2	2,2-Dichloro-1-nitrosoethenamine	C(=C(Cl)Cl)(N)N=O	0.9	12727299	PUBCHEM:(12727299)	2.0	157.989	21.0	0.356	7.076667446498528e+17	7.076664962589622e+17	
23	BXQFLVYBXGWIRW	sirius	C1=COC(=CO1)S(=O)(=O)N																																																																																												1.0	1.0	0.109	0.109	-76.945	0.631	0.899	69.041	C4H5NO4S	[M + Na]+	C4H5NNaO4S+	InChI=1S/C4H5NO4S/c5-10(6,7)4-3-8-1-2-9-4/h1-3H,(H2,5,6,7)	1,4-Dioxine-2-sulfonamide	C1=COC(=CO1)S(=O)(=O)N	-1.0	69260585	PUBCHEM:(69260585)	2.0	185.984	21.0	0.356	7.0766676733265e+17	7.07666496338654e+17	
25	OJZSYUULSMQUAJ	sirius	COC(=O)C(CP=O)P=N																																																																																												1.0	1.0	0.003	0.003	-116.407	0.902	0.896	6.6	C4H7NO3P2	[M + K]+	C4H7KNO3P2+	InChI=1S/C4H7NO3P2/c1-8-4(6)3(10-5)2-9-7/h3,5H,2H2,1H3	Methyl 2-iminophosphanyl-3-phosphorosopropanoate	COC(=O)C(CP=O)P=N	-0.5	118531893	PUBCHEM:(118531893)	2.0	217.952	22.0	0.361	7.076667573334286e+17	7.0766649642254e+17	
26	LEYXDQZVMFEUTP	sirius	CS(=O)(=O)C1=NN=C(S1)F																																																																																												1.0	2.0	0.031	0.031	-54.442	0.264	0.33	24.4	C3H3FN2O2S2	[M + H3N + H]+	C3H7FN3O2S2+	InChI=1S/C3H3FN2O2S2/c1-10(7,8)3-6-5-2(4)9-3/h1H3	2-Fluoro-5-methylsulfonyl-1,3,4-thiadiazole	CS(=O)(=O)C1=NN=C(S1)F	0.4	54030101	PUBCHEM:(54030101)	2.0	199.996	22.0	0.36	7.076667602149156e+17	7.076664964644831e+17	
26	PYUSHNKNPOHWEZ	gnps	CSCCC(N=CO)C(=O)O	CCMSLIB00010123304	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.601069	4336260.0	0.0	193.905	6.0	0.0387878	199.996	1.0	temp/spectra_filtered.mgf26	1.0	fMet CollisionEnergy:205060	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+Na	200.035	0.0	1.0			CSCCC(N=CO)C(=O)O	"""InChI=1S/C6H11NO3S/c1-11-3-2-5(6(9)10)7-4-8/h4-5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m1/s1"""		3.0	Positive	BERKELEY-LAB	200.035	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H11NO3S	PYUSHNKNPOHWEZ-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues			Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010123304																																																																							
27	KKADPXVIOXHVKN	gnps	O=C(O)C(=O)CC1=CC=C(O)C=C1	CCMSLIB00013639059	spectra_filtered.mgf	WINE-DB-ORBITRAP.mgf	0.875367	3792140.0	0.0	449.629	7.0	0.0822754	182.903	1.0	temp/spectra_filtered.mgf27	1.0	4-Hydroxyphenylpyruvic_acid	ESI	Orbitrap	Commercial	Axel_Marchal	TE_MLS	M+H	182.985	180.16	1.0	156-39-8		O=C(O)C(=O)CC1=CC=C(O)C=C1	InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)		1.0	Positive	WINE-DB-ORBITRAP	182.985	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H8O4	KKADPXVIOXHVKN-UHFFFAOYSA-N	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives			Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639059																																																																							
28	RRRXKDJSULCXTB	sirius	C(C(=O)O)N1NC(=O)N=N1																																																																																												1.0	2.0	0.03	0.03	-130.057	0.18	0.222	9.11	C3H4N4O3	[M + H]+	C3H5N4O3+	InChI=1S/C3H4N4O3/c8-2(9)1-7-5-3(10)4-6-7/h1H2,(H,5,10)(H,8,9)	(5-hydroxy-2H-tetrazol-2-yl)acetic acid	C(C(=O)O)N1NC(=O)N=N1	0.2	7106974;3549881	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(7106974 3549881)	67108866.0	145.036	20.0	0.326	7.076667128696096e+17	7.076664966490324e+17	
29	WILYSFGDCDXQIC	sirius	C[N+](=C(Cl)Cl)C																																																																																												1.0	2.0	0.087	0.087	-86.358	0.446	0.333	18.394	C3H5Cl2N	[M + H]+	C3H6Cl2N+	InChI=1S/C3H6Cl2N/c1-6(2)3(4)5/h1-2H3/q+1	Dichloromethylidene(dimethyl)azanium	C[N+](=C(Cl)Cl)C	1.9	419147	NORMAN:(NS00059541);PUBCHEM:(419147)	262146.0	125.987	22.0	0.364	7.076667528832718e+17	7.076664967077527e+17	
30	INUNLMUAPJVRME	sirius	C(CCl)C(=O)Cl																																																																																												1.0	2.0	0.016	0.018	-51.922	0.041	0.5	40.939	C3H4Cl2O	[M + H3N + H]+	C3H8Cl2NO+	InChI=1S/C3H4Cl2O/c4-2-1-3(5)6/h1-2H2	3-chloro(314C)propanoyl chloride	C(CCl)C(=O)Cl	1.3	126655605;10582803;69364	NORMAN:(NS00003964);PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(126655605 10582803 69364);DSSTox:(DTXSID5060801);PUBMED	137506324546.0	143.997	22.0	0.364	7.076667404471598e+17	7.076664967622787e+17	
31	GFPQBBIFILRPRI	sirius	C1=CNC(=O)N([C]1N)O																																																																																												1.0	1.0	-inf	-inf	-200.87	0.995	0.971	41.678	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	InChI=1S/C4H6N3O2/c5-3-1-2-6-4(8)7(3)9/h1-2,9H,5H2,(H,6,8)		C1=CNC(=O)N([C]1N)O	-1.7	101501332	PUBCHEM:(101501332)	2.0	151.035	22.0	0.364	7.076667156504333e+17	7.076664968126103e+17	
32	VBWBRZHAGLZNST	sirius	C(CCl)NC(=O)NCCCl																																																																																												1.0	1.0	0.076	0.076	-107.236	0.515	0.332	21.055	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	InChI=1S/C5H10Cl2N2O/c6-1-3-8-5(10)9-4-2-7/h1-4H2,(H2,8,9,10)	1,3-Bis(2-chloroethyl)urea	C(CCl)NC(=O)NCCCl	0.6	12860051;95791	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(12860051 95791);DSSTox:(DTXSID40176672);PUBMED:(null)	137506062402.0	167.013	22.0	0.364	7.076667239677385e+17	7.076664968755249e+17	
33	XTWNUAXLOAEBOC	isdb																																														28.0	Shikimates and Phenylpropanoids	0.05	Small peptides	0.02	Aminoacids	0.02	1.0	0.2804605	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	1.1218420267105105	1.0																								
35	DIKYVARJNJHZEO	sirius	C(C(CBr)O)OCC([N+](=O)[O-])([N+](=O)[O-])F																																																																																												1.0	1.0	-inf	-inf	-167.882	1.0	1.0	39.88	C5H8BrFN2O6	[M + Na]+	C5H8BrFN2NaO6+	InChI=1S/C5H8BrFN2O6/c6-1-4(10)2-15-3-5(7,8(11)12)9(13)14/h4,10H,1-3H2	1-Bromo-3-(2-fluoro-2,2-dinitroethoxy)propan-2-ol	C(C(CBr)O)OCC([N+](=O)[O-])([N+](=O)[O-])F	0.4	119097099	PUBCHEM:(119097099)	2.0	312.943	22.0	0.364	7.076667550307556e+17	7.076664970516858e+17	
37	XDINYGSGZCMRLV	sirius	CC(=O)NC(CCl)Cl																																																																																												1.0	1.0	0.333	0.333	-55.673	1.0	0.008	5.244	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	InChI=1S/C4H7Cl2NO/c1-3(8)7-4(6)2-5/h4H,2H2,1H3,(H,7,8)	N-(1,2-dichloroethyl)acetamide	CC(=O)NC(CCl)Cl	0.9	129031291	PUBCHEM:(129031291)	2.0	137.987	22.0	0.363	7.076667406442921e+17	7.076664971271832e+17	
38	OXNGKVMYAJGLPA	sirius	CC1=C(C(=NNC1=O)[O])C																																																																																												1.0	3.0	0.066	0.066	-91.172	0.098	0.333	66.937	C6H7N2O2	[M + H3N + H]+	C6H11N3O2+	InChI=1S/C6H7N2O2/c1-3-4(2)6(10)8-7-5(3)9/h1-2H3,(H,7,9)		CC1=C(C(=NNC1=O)[O])C	0.1	131858385	PUBCHEM:(131858385)	2.0	157.084	20.0	0.328	7.076667153358605e+17	7.076664971607377e+17	
38	SRAALVPFSJSJTL	isdb	C[C@H]1[C@H]2C(=O)O[C@H]2C[C@@]1(C)O																																													44.0	Polyketides	0.3333333333333333	Monoterpenoids	0.1666666666666666	Iridoids monoterpenoids	0.1666666666666666	9.0	0.24287511	ISDB	http://www.wikidata.org/entity/Q77571671	SRAALVPFSJSJTL-LZCNBPATSA-N	InChI=1S/C8H12O3/c1-4-6-5(11-7(6)9)3-8(4,2)10/h4-6,10H,3H2,1-2H3/t4-,5-,6+,8+/m0/s1	C[C@H]1[C@H]2C(=O)O[C@H]2C[C@@]1(C)O	C8H12O3		156.078644244	Myrotheciumone B	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q104083700	Paramyrothecium roridum	129242.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Unknown']	['Unknown']	['Paramyrothecium']	['Myrothecium roridum']											0.0	3.0	2.4715004563331604	1.0																								
38	SYMHUEFSSMBHJA	gnps	Cc1ncnc2[nH]cnc12	CCMSLIB00010108183	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.626216	510970.0	0.0	226.577	6.0	0.0355835	157.084	1.0	temp/spectra_filtered.mgf38	1.0	6-Methylpurine CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+Na	157.048	0.0	1.0			Cc1ncnc2[nH]cnc12	"""InChI=1S/C6H6N4/c1-4-5-6(9-2-7-4)10-3-8-5/h2-3H,1H3,(H,7,8,9,10)"""		3.0	Positive	BERKELEY-LAB	157.048	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H6N4	SYMHUEFSSMBHJA-UHFFFAOYSA-N	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Pseudoalkaloids	pteridine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010108183																																																																							
40	JMKBEDOVHYINRL	sirius	C(=O)(C(C(=O)O)(C(=O)O)Br)O																																																																																												1.0	1.0	-inf	-inf	-58.313	1.0	1.0	83.103	C4H3BrO6	[M + Na]+	C4H3BrNaO6+	InChI=1S/C4H3BrO6/c5-4(1(6)7,2(8)9)3(10)11/h(H,6,7)(H,8,9)(H,10,11)	Bromomethanetricarboxylic acid	C(=O)(C(C(=O)O)(C(=O)O)Br)O	0.0	129642899	PUBCHEM:(129642899)	2.0	248.901	22.0	0.363	7.076667480807936e+17	7.076664972320408e+17	
42	ZZYCPTONQZEZMR	sirius	C(CBr)NC(=O)C(=O)N=S(=O)=O																																																																																												1.0	3.0	0.035	0.035	-112.673	0.043	0.218	63.973	C4H5BrN2O4S	[M + H3N + H]+	C4H9BrN3O4S+	InChI=1S/C4H5BrN2O4S/c5-1-2-6-3(8)4(9)7-12(10)11/h1-2H2,(H,6,8)	N-(2-bromoethyl)-N'-sulfonyloxamide	C(CBr)NC(=O)C(=O)N=S(=O)=O	0.6	87977570	PUBCHEM:(87977570)	2.0	273.949	22.0	0.365	7.076667729068804e+17	7.07666497303344e+17	
