cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:control_positive	ATTRIBUTE_condition:GNPSGROUP:P2_negative	ATTRIBUTE_condition:GNPSGROUP:P2_positive	ATTRIBUTE_condition:GNPSGROUP:control_negative	ATTRIBUTE_condition:GNPSGROUP:nan	component	#Scan#	Compound_Name
22	162.96772665471397	0.3583442	0.0	0.0	0.0	0.0		-1		
23	185.9836230913748	0.35544243	528540.0	866192.0075	595120.79	1033199.44		31		
24	223.929042393904	0.35627547	0.0	0.0	0.0	0.0		28		
25	217.95188595861512	0.36113334	0.0	244347.235	171273.86	750173.94		28		
26	199.99620627851675	0.3603551	0.0	0.0	0.0	0.0		243	26.0	fMet CollisionEnergy:205060
27	182.9027333456781	0.35627547	0.0	0.0	0.0	0.0		28	27.0	4-Hydroxyphenylpyruvic_acid
28	145.03550363705736	0.325518	291955.38	213816.64	446126.735	264047.66		31		
29	125.98650542104345	0.36363897	76298890.0	157730125.0	114063026.5	144835740.0		-1		
30	143.9970168012485	0.36363897	13012944.0	30747373.0	22437974.5	29806388.0		-1		
31	151.03547595479702	0.36363897	47088704.0	140924021.0	134660950.0	148902380.0		28		
32	167.0130305983827	0.36363897	81807256.0	187145170.0	135949149.0	171866800.0		28		
33	128.01958145068656	0.36322415	4145768.2	13722952.5	12640696.25	14851161.0		28		
34	271.9164549254488	0.36363897	101234240.0	178840890.0	144641332.5	177494500.0		28		
35	312.94307038863195	0.36364478	43835830.0	86178070.0	68267100.0	82869304.0		28		
36	130.01692780870792	0.36416018	935228.56	2509782.8	2407343.45	2818879.5		-1		
37	137.987487834782	0.36272752	29978536.0	22990987.75	23651123.5	21768722.0		31		
38	157.083588941147	0.32769394	167455.77	215757.3715	211564.2325	215043.55		44	38.0	6-Methylpurine CollisionEnergy:102040
39	230.8899514941384	0.36507767	16164769.0	26896672.0	21537300.0	28408948.0		-1		
40	248.900668553011	0.3632246	20192758.0	37220056.0	30192510.0	40158680.0		28		
41	255.9385704246176	0.36507767	22095382.0	44343633.0	51520364.5	52996010.0		28		
42	273.949450241807	0.36507767	8072839.5	20184947.75	22675217.5	23885570.0		28		
43	296.9655804770658	0.36560255	21667520.0	55136185.0	58347462.5	61719756.0		28		
44	300.9206568433434	0.36560255	73638570.0	37710831.0	38986361.0	29504142.0		28		
45	305.89961604380625	0.36560255	76533880.0	39278230.5	41656887.5	29639490.0		28		
46	326.9201767782375	0.36560255	97867370.0	50123681.5	50829779.5	39454284.0		28		
47	328.91526937732846	0.35216677	756018600.0	394681085.0	413030327.5	305435260.0		28		
48	505.7493041617256	0.36560255	46626690.0	17871152.25	20479218.5	10762182.0		43		
49	154.99040434451933	0.35181132	617003100.0	388831540.0	390895892.5	349020000.0		28		
50	224.0118313882717	0.35746276	30429726.0	21434177.75	21319868.5	17798194.0		28		
51	246.8621073151456	0.36612797	57547544.0	29079654.25	30311165.0	24312370.0		28		
52	259.89407716010584	0.36612797	43084584.0	20488496.75	21754579.75	17204686.0		28		
53	264.8730171829406	0.36612797	77637170.0	40797706.5	39829751.5	36155164.0		28		
54	285.89358366836126	0.36612797	84701480.0	43686390.5	45964969.0	34095884.0		28		
55	287.8886759531108	0.35906002	681885760.0	346820700.0	362595470.0	272783900.0		28		
56	359.81865972411526	0.36612797	67513840.0	28707520.75	34208726.0	22620686.0		43		
57	128.95104433394474	0.352672	36438740.0	21775543.0	23222262.0	21354722.0		28		
58	139.96351157336804	0.35583627	60808252.0	37112865.0	37366269.0	29219906.0		28		
59	141.95876158921132	0.35088468	981600060.0	613261920.0	611143812.5	502166660.0		28		
60	159.96934927099184	0.35134682	171566110.0	111752750.0	116294159.0	99957390.0		28		
61	180.9900915185357	0.35616615	133278700.0	89434990.0	87917279.5	73291010.0		28		
62	182.98531875249083	0.35268342	2130150800.0	1436842657.5	1439649225.0	1188426600.0		28	62.0	4-Hydroxyphenylpyruvic_acid
63	169.9775730044582	0.35086614	78682984.0	40932753.0	45472103.0	39509804.0		-1		
64	171.99313302384928	0.36263904	15340957.0	13400521.75	13333570.5	13824049.0		28		
65	130.96665597447037	0.36080584	8491833.0	5469229.5	5380135.125	5389358.5		251		
66	158.96158716816907	0.35337344	46257100.0	35375031.5	37205285.5	35863204.0		28		
67	186.9565183989386	0.35472527	6216320.5	4428231.95	4699449.625	4396900.5		141		
68	199.9880652914093	0.35603592	26974658.0	19792145.75	20736909.5	20106122.0		189		
69	276.8968545995521	0.35557526	35670390.0	22215381.25	24562960.5	21826602.0		28		
70	288.919305296651	0.37056628	2780067.0	4656881.75	4115489.75	5306464.5		230		
71	176.9721823896284	0.3581916	4535520.5	3467443.75	3502642.7	3620416.0		189		
72	131.1293835603758	0.37558776	19474064.0	189349475.5	162236503.5	191331280.0		-1		
73	220.9352237863419	0.3746841	1494829.1	607041.95	1037416.065	0.0		-1		
74	147.11306756695143	0.38012406	848967.8	12315644.275	10492592.25	11565330.0		-1		
75	133.09740489102091	0.3803287	1518543.8	21561865.05	14407641.25	19882442.0		130		
76	242.92609671023547	0.38792163	0.0	0.0	1336082.25	0.0		-1		
77	362.9264016446861	0.38720807	0.0	0.0	0.0	0.0		230		
78	144.95745626456008	0.38521242	173475.78	44747.63	0.0	0.0		31		
79	233.078783940042	0.34110564	334840.9	389666.395	435030.2525	437218.78		-1		
80	253.9098302041492	0.32490402	372860.53	367169.18	281414.545	381852.34		230		
81	261.1100266660405	0.33396944	168091.58	156599.22749999998	176991.135	230389.47		-1		
82	226.95181166330696	0.38792163	0.0	0.0	238061.375	0.0		109		
83	294.93915815251586	0.38720807	0.0	0.0	0.0	0.0		230		
84	216.9202290803921	0.32816547	385111.2	380930.23	397608.2025	375671.44		-1		
85	244.9146930438717	0.32983336	347433.44	350886.2525	346448.9125	357372.1		230		
86	312.90081632658934	0.34487256	0.0	232344.3125	224985.4	0.0		230		
87	336.8435283037948	0.3882614	11442307.0	20388288.25	15871854.5	16802370.0		-1		
88	268.85508889036026	0.3893188	39034324.0	26474286.0	20891696.5	22710432.0		-1		
89	164.07429226046693	0.3930333	1730032.6	8025999.175	9280556.0	10663760.0		-1		
90	200.97269744704784	0.34131703	497692.88	482575.085	507441.8075	561441.94		-1		
91	235.05722004525063	0.39621258	514862.06	3558964.4925	7850712.125	4039900.5		-1		
92	251.0310756980197	0.39621258	3455382.2	47321637.8	35128615.5	47993760.0		-1		
93	213.07513579359195	0.3978034	3531708.0	38787657.125	36127187.0	45285600.0		-1		
94	206.886246860002	0.3930301	15621198.0	28739929.5	14084232.375	26998764.0		-1		
95	175.11927404558077	0.4001898	35509650.0	319360545.5	389271455.0	440012260.0		130	95.0	Massbank:PB000419 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid
96	208.9728546114953	0.40629184	9316074.0	50239286.0	41368272.5	65998110.0		-1		
97	378.98229331307255	0.40512985	0.0	14460896.275	12315358.125	19234344.0		-1		
98	192.99894238414896	0.41105682	1276713.1	4708335.4	9820483.875	6318898.5		-1		
99	222.9884559078569	0.41105083	9779631.0	48286043.25	44311562.0	60893720.0		-1		
100	333.0493946562002	0.4115786	536702.94	5277805.35	9275316.875	7222477.0		-1		
101	371.0054014222699	0.41210693	546178.06	5126684.75	7256430.625	7424982.0		-1		
102	171.0169783215647	0.41317955	3768176.8	22828456.75	21042135.0	28217014.0		28		
103	207.0145290844717	0.41317955	1284713.1	6069892.5	13462171.375	7610354.0		-1		
104	133.06108242271617	0.41423982	15812445.0	69368025.0	74053010.0	85005580.0		-1		
105	185.03260349270465	0.41423982	6718108.5	72464884.5	81342217.5	99524856.0		202		
106	169.0586501535399	0.41794506	1445620.0	6323086.225	20115860.125	8906288.0		-1		
107	130.0501689044661	0.42025092	47052948.0	161147178.5	184160882.5	195701070.0		-1		
108	147.0766328706711	0.4200677	78599080.0	261599602.5	302549577.5	321239680.0		-1		
109	184.0736107374601	0.4200656	219032.36	3993595.3575	4196235.375	4453833.5		202		
110	172.95684835154722	0.4209338	8941079.0	3587478.85	1663270.5499999998	1388129.9		28		
111	236.93889524886924	0.40396938	325794.88	0.0	125860.1075	0.0		201		
112	214.05904936317484	0.42005938	775207.06	19265727.515	14053244.75	21223408.0		-1		
113	155.0429422934355	0.4232585	961974.2	3127555.75	7474178.55	3697457.2		-1		
114	148.06066368137743	0.4237603	4797746.0	22566123.05	13159369.0	18046150.0		-1		
115	159.07666610335124	0.42537007	3602520.0	18682170.25	14608344.5	19996834.0		130		
116	217.95993550923745	0.39642707	0.0	134976.0625	398494.725	931350.2		28		
117	252.97366917227103	0.4253677	519319.9	5750446.725	3500771.2750000004	8053333.5		-1		
118	176.10325368522072	0.42643008	7339928.0	30281568.375	24880481.0	33639070.0		130		
119	223.9887666738263	0.3814896	540543.94	1417907.725	912078.815	1484640.6		91		
120	219.026727911313	0.42749158	105573020.0	40291991.5	15611751.25	12642593.0		-1		
121	280.99544746966325	0.42696244	17095294.0	4968704.55	3541380.85	2644317.0		-1		
122	270.9668182285103	0.43328935	7149965.0	1603339.8125	466829.49250000005	342962.4		-1		
123	215.0178885386017	0.42802283	1512826.4	6869893.7	6093564.0	7433368.5		-1		
124	139.914890454875	0.42855516	1462106.8	7564659.75	5708215.125	6653776.5		-1		
125	455.1166055814084	0.42749313	667286.56	19944216.575	15987013.0	22711090.0		-1		
126	451.0304649207328	0.43272057	7447502.0	1502416.0	110954.3175	0.0		-1		
127	342.13982776898166	0.4440374	10400625.0	2928610.2075	496604.8625	302166.38		172		
128	143.08175625023205	0.43600523	13614525.0	42740738.125	19455681.625	83728140.0		-1		
129	177.0620368756139	0.43600523	2711585.0	5518597.625	5809638.25	6172283.0		130		
130	125.07128579652108	0.43570417	1111873.6	4043622.6725	1764855.5299999998	7705737.5		-1		
131	414.0461875537854	0.43256643	7979880.0	1810598.585	772484.2725	756063.5		346		
132	203.15040913294013	0.43814006	935713.94	7692665.65	11172860.25	12362089.0		130	132.0	N_N_DIMETHYLARGININE
133	164.09194262029467	0.43760213	292809.5	226926.7575	384653.5425	257177.22		-1		
134	203.05276671586915	0.4404073	111706060.0	27045044.55	19357302.5	9827386.0		-1		
135	198.09748901926795	0.4392009	41364160.0	12939364.85	5918161.75	4922488.5		172	135.0	Spectral Match to .beta.-D-Glucose from NIST14
136	180.08690218520348	0.44187325	39100412.0	11241763.3	5204772.175	4192690.5		172	136.0	Spectral Match to D-Fructose from NIST14
137	127.03932158511176	0.4405296	9957281.0	3809597.3	2127835.125	2088804.0		-1		
138	293.0632900542285	0.44187033	1078037.2	5789614.75	6602813.875	5892504.5		-1		
139	136.0792369069824	0.4424028	6297090.0	16428066.0	19136225.5	18410728.0		-1		
140	145.04983517694242	0.4413728	11605953.0	3485664.76	1676052.125	1498210.1		-1		
141	138.05526033720048	0.4427309	412938.0	772311.0225	1060672.8	912005.0		31		
142	405.0507448048187	0.4443498	8913272.0	2035349.35	747973.1174999999	617921.5		219		
143	191.10281073361708	0.44346893	1736683.9	5391408.6	6662185.75	6027998.0		-1		
144	369.0290942179847	0.4449639	6374709.0	1326191.5625	516026.585	394696.34		219		
145	324.01391228246183	0.4449684	14507609.0	2964316.95	859737.315	438200.16		346		
146	224.8991307030098	0.44636708	0.0	0.0	0.0	0.0		91		
147	284.9048830831956	0.44636708	0.0	0.0	0.0	0.0		360		
148	277.08956405762206	0.44667944	870485.6	2508094.15	4320197.825	2824676.8		-1		
149	387.0397803239727	0.44681486	9131717.0	1993988.125	777233.92	561411.4		219		
150	139.98242967902254	0.44656226	6032023.0	5416814.5	5358151.625	4958809.5		26		
151	243.8782965333721	0.44842383	0.0	0.0	0.0	0.0		94		
152	360.15014715806853	0.45050505	4399991.0	2453301.65	1334619.425	1491158.5		172	152.0	sucrose
153	365.1054948517941	0.45092687	4526745.0	2049945.5225	1288136.415	1215035.6		114		
154	267.9020941344493	0.39388955	2772972.5	2582543.85	3299058.05	2976641.8		28		
155	196.0641062870576	0.45310432	8586514.0	6681267.55	8050343.375	5413985.0		-1		
156	305.13441186027325	0.45417264	2342172.2	12924156.6	4972844.6	24837666.0		114		
157	180.9825092600633	0.45421404	1025333.9	316472.01	337747.98000000004	249027.4		28		
158	175.108189304057	0.45736217	19095680.0	104166503.375	18531671.25	54656176.0		130	158.0	N~2~-Acetyl-L-ornithine - 40.0 eV
159	176.11114550432447	0.4568308	1616343.6	8885338.96	1391903.64	4292776.5		130		
160	244.0929863870146	0.46057594	1280349.6	12806762.95	12487481.5	13296616.0		-1		
161	255.0977747154792	0.4609303	167636.08	6481682.125	7788437.55	8348663.5		114		
162	256.0816798379706	0.46272495	2938507.0	18263612.25	18751947.75	24386788.0		114		
163	124.03966543470187	0.46934247	2620277.2	12888465.3	13282212.5	17593298.0		-1		
164	150.0777671484006	0.4632599	585461.44	5190958.5	5985521.75	9032165.0		287		
165	126.05532178196457	0.51314926	1218029.6	1400451.6124999998	1367450.375	1403198.6		326		
166	136.07014733080024	0.46445924	0.0	845909.975	1113910.255	1051110.5		-1		
167	150.09503160683408	0.4664634	798617.8	5494722.515000001	4515472.8	6740948.0		287		
168	199.97590207359733	0.46454033	2640837.2	2314621.55	2244959.975	2109465.8		-1		
169	136.06205511961866	0.46706206	3374869.8	124502759.95	138140105.0	143250060.0		-1		
170	152.0570051170287	0.4669992	443559.66	10983592.475	11879974.5	11389965.0		-1		
171	175.1192388523542	0.40648344	39956844.0	243676333.125	391534912.5	464474660.0		130	171.0	N-Acetylornithine (known structural isomers: 1; isobaric peaks in run: 2)
172	268.1041109235893	0.46861893	1260774.4	54019562.975	63935477.5	84264810.0		114	172.0	ADENOSINE
173	332.13400490602544	0.46861893	489141.62	9524537.61	9090123.875	12395542.0		114		
174	308.0912464369264	0.47025734	344293.2	2784335.425	2804937.225	3719929.0		308	174.0	glutathione CollisionEnergy:102040
175	141.95885803824427	0.5649513	5710358.5	4350824.95	3930385.65	3401432.0		28		
176	180.9901643514604	0.49564397	1201186.9	896175.5850000001	830885.765	753502.5		28		
177	182.98547246075472	0.49565908	19865680.0	15012902.75	13919857.0	12138583.0		28		
178	154.99051152367628	0.49786466	6855591.5	5855296.25	5605533.25	5054645.0		28		
179	214.0037259758232	0.49961653	6157440.5	5731979.0	5835057.625	5007077.0		189		
180	154.98256654138612	0.5421909	397766.22	440158.11	435445.565	458188.72		28		
181	280.961599116356	0.5004983	1257740.2	1447569.85	1639175.5750000002	1491338.0		28		
182	182.02940661683724	0.500928	18326554.0	21102278.5	21928322.5	19368514.0		28		
183	281.9175403501551	0.50093335	2151485.8	1675044.7	1615867.4500000002	1389611.5		28		
184	180.03420919342494	0.5018001	1914053.2	2178478.85	2327649.575	2152169.0		28		
185	159.01344230901114	0.50223434	1513369.0	1690626.15	1737941.2	1618552.5		103		
186	245.99123791134053	0.507162	1037965.94	1016026.6625	1104900.915	937455.7		28		
187	172.97735867491042	0.5061698	12039627.0	10982749.25	10636709.5	10309937.0		-1		
188	271.9086691433402	0.5061927	1218921.4	1205897.975	1254175.475	1207635.1		-1		
189	149.0600298489698	0.51813114	1299636.2	1563667.425	1482223.9500000002	1540548.8		-1		
190	168.01381015869092	0.5166591	16664351.0	17648810.5	17305167.25	16605446.0		28		
191	167.01761388418532	0.5170608	1160344.9	1190914.775	1213496.05	1188375.4		28		
192	169.9776404741177	0.52229995	6127257.0	5098783.75	5035772.375	4937714.5		140		
193	266.94612527087537	0.5219311	1251948.1	1207873.925	1237808.9	1213141.9		-1		
194	128.9510965742751	0.5271148	3032589.0	2819260.025	2738722.525	2757902.8		-1		
195	196.0086997117659	0.5320881	4623348.0	4650031.25	4595468.125	4641736.5		-1		
196	144.9977337350355	0.532441	1362362.5	1495984.0	1513973.425	1439402.0		-1		
197	252.93021473229712	0.5605296	1052741.2	1028189.1875	1031474.9025	1065363.6		-1		
198	257.8938263937182	0.5759136	1230753.8	1066227.9	1085280.9	1102096.2		360		
199	231.97558979668324	0.5833905	866546.7	818558.2000000001	832202.2125	750773.56		28		
200	153.99811693918332	0.588257	9511823.0	8508620.625	8981425.375	8123789.0		28		
201	127.03933639056083	0.60271883	1458164.9	1586098.6749999998	1588466.775	1674451.6		-1		
202	152.057073565138	0.5965701	372352.7	4030251.475	3422259.75	3802557.5		28		
203	136.06208046766218	0.5983108	859388.5	23506730.975	19364661.75	21614616.0		-1		
204	154.99778148781314	0.59132636	617312.1	560224.475	568765.375	523413.4		28		
205	141.95886893057872	0.5947703	5029216.5	4208674.575	4067785.75	4033842.5		28		
206	484.1171154899893	0.6069188	0.0	906789.225	1009884.64	902128.8		-1		
207	124.03968319648098	0.6124795	1669206.0	4226472.5	4858722.5	4427375.0		-1		
208	126.05531815195266	0.61783034	1258054.4	1473382.875	1458097.55	1460952.9		326		
209	123.05569784668916	0.6089623	208598.08	777673.675	868267.835	758681.8		-1		
210	238.9146975801972	0.61421436	1071317.2	951172.3375	985329.1975	972640.2		-1		
211	308.091188187271	0.61399466	530254.44	2061655.35	2045165.225	2818977.0		308	211.0	GLUTATHIONE REDUCED
212	154.99974802169436	0.61721456	0.0	253672.25	0.0	0.0		28		
213	181.99331862280687	0.621264	1611720.2	1350856.275	1465854.8250000002	1359008.0		28		
214	150.05880183540268	0.624067	296394.12	1938211.155	1979180.3	1849513.4		-1		
215	154.99796296223303	0.5951854	629064.3	562755.02	585657.085	523413.4		28		
216	303.8836811607115	0.6252974	1360277.4	1175122.6	1167720.25	1166664.8		28		
217	176.97224390869738	0.6446627	1829688.8	1577800.0499999998	1576466.4500000002	1599145.0		189		
218	330.0599298212089	0.65413916	0.0	1128609.0	736718.6349999999	764633.0		114	218.0	ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE - 40.0 eV
219	182.02943839686307	0.66675776	2260884.2	2828180.45	2862228.9	2471035.5		28		
220	210.0243194873136	0.66788596	1142279.6	1394714.275	1417372.975	1207928.8		211		
221	236.93888787065825	0.7044537	1205802.1	1090960.125	1058182.975	997427.2		201		
222	168.01383141375518	0.63749623	6013602.0	8152915.625	8249300.5	11932157.0		28		
223	186.992842856302	0.67518413	1651458.1	1955977.95	1987648.4250000005	1865088.1		103		
224	196.04509167728608	0.67686594	2731728.0	3566373.0250000004	3606704.725	2841196.8		211		
225	224.0399563881911	0.67686594	1644723.4	2081322.15	2095075.25	1645975.9		211		
226	149.06005301959138	0.67542714	1290099.6	1525408.2	1507435.4250000005	1553582.1		305		
227	130.05023137291292	0.67967826	270068.78	2244924.85	2502657.775	2884489.2		-1		
228	186.95659205080355	0.70271534	1759162.5	1655110.7	1546296.25	1538020.8		141		
229	152.07097618525145	0.7085221	1769879.1	1138006.615	716287.3724999999	759233.4		-1		
230	170.08152218429632	0.71059376	4517080.5	2885870.325	1790473.625	1757119.5		140		
231	190.07133593313333	0.71339405	127045.734	1018847.1	807830.325	1339788.8		-1		
232	346.05492420058454	0.71827096	0.0	1175449.235	719628.2725	655996.56		114	232.0	Guanosine cyclic monophosphate
233	158.96164301921792	0.7523105	12548599.0	11849837.25	11683863.75	11799171.0		103		
234	231.08420817195665	0.72912043	308063.3	1568502.61	1505705.65	1680657.5		-1		
235	224.89909345035835	0.8073217	1282654.8	1227845.8	1259529.3	1227955.8		91		
236	267.90202777968153	0.7320177	1876521.8	1605139.2999999998	1524988.525	1535184.2		114		
237	332.1340724548389	0.7538181	209288.27	3439947.725	2882194.625	4088896.8		114		
238	182.0816109177605	0.7543752	440553.66	2053891.95	1924941.575	1900968.6		28		
239	137.98740798791016	0.77768123	1959094.9	2083154.275	2024829.6	1985185.2		31		
240	132.04810382941457	0.7609546	0.0	5260702.0	2518003.9875	5282045.5		-1		
241	190.9933274986013	0.8103466	1076832.4	1053033.0625	976429.845	915281.7		207		
242	139.98252280321012	0.804059	12729747.0	12162722.25	8983218.75	11581544.0		-1		
243	130.9666976110654	0.81640476	1656083.9	1516841.2	1531483.725	1676241.8		251		
244	149.0600351711974	0.80346745	1290099.6	1562534.1	1510927.7000000002	1523392.8		305		
245	136.06206888349124	0.8116735	444547.2	8499325.36	9387547.375	11638220.0		-1		
246	268.1041010887837	0.8125424	1554474.2	35922586.525	39458252.5	48530516.0		114		
247	303.8836642597939	0.8356398	1363586.6	1213697.625	1214583.975	1246186.2		28		
248	132.10220721038323	0.8332303	1554542.6	4846416.45	4275212.075	4267796.0		-1		
249	236.93887873436924	0.8598648	1295523.6	1138017.05	1158265.45	1121159.8		201		
250	267.90205979967703	0.81502795	1839361.8	1581029.15	1555889.475	1522168.1		114		
251	137.9873902415707	0.8397861	2249485.2	2067291.8	1994186.1	1985185.2		31		
252	158.96162123263238	0.881749	13144744.0	11921251.25	12107741.5	12398048.0		103		
253	190.99331963646512	0.8696109	1325917.6	1035771.925	1016810.275	1016414.75		207		
254	139.98249811164982	0.88586825	15122055.0	11793710.5	11880225.75	12670936.0		26		
255	130.96669747315426	0.89620256	1677906.8	1529570.025	1554165.2	1612832.0		251		
256	132.10222153983662	0.91173726	1385852.8	6170801.6	6098646.0	5267620.5		-1		
257	217.95990817839268	0.93083435	1485574.2	1182930.55	1231156.5	1201667.0		28		
258	236.93887653488545	0.9295759	1236013.0	1138458.725	875169.75	1171307.8		201		
259	152.05704407383115	0.9197947	0.0	598275.3474999999	414476.8575	552865.2		28		
260	186.9565566452828	0.95303285	1821815.8	1666864.55	1685287.1999999995	1753533.5		103		
261	176.97221808801308	0.9557862	1824242.0	1667058.825	1686917.675	1686427.8		189		
262	243.8782621256248	0.9356557	982468.1	965468.19	973987.6775	993973.6		94		
263	224.89907673789548	0.9444809	1406338.2	1406477.85	1385482.075	1369535.6		91		
264	158.96163139477278	0.97421575	13521135.0	12131782.0	12039166.25	12514989.0		103		
265	149.02369005677568	0.99355346	615536.06	681362.475	656035.075	656664.75		104		
266	176.9722189433158	0.9928276	1800129.8	1696441.2000000002	1685191.3250000002	1763142.6		189		
267	139.98253374919565	1.0098361	13335726.0	11945688.75	12238477.0	13834542.0		26		
268	217.95991807934857	0.99639755	1346901.1	1206311.9249999998	1222017.925	1329301.4		28		
269	186.95655812570456	1.016599	1815745.6	1706667.725	1674750.7999999998	1798752.9		103		
270	137.98738531348897	1.0387586	2157136.8	1961807.525	1922767.925	2078246.9		31		
271	130.96669782052288	1.026915	1619023.1	1546557.6	1580172.975	1590880.6		-1		
272	224.89908815473936	0.998625	1431747.1	1405794.1	1431920.175	1387022.9		91		
273	243.87827367429097	1.0061438	1042185.25	982623.0325	993948.8099999998	1026693.25		94		
274	236.93888399693788	1.0371767	1174884.4	1122781.075	1154889.875	1187378.6		201		
275	168.1233497667764	1.1083208	2498889.8	1021403.7975	1414638.375	955353.06		75		
276	173.0787210491509	1.1075631	4138503.5	1583033.875	2232855.475	1577816.0		28		
277	151.09680803655118	1.1062552	4334954.5	1842435.45	2503776.15	1755628.4		75		
278	196.15457543460897	1.1099186	650606.44	229535.5875	306946.72250000003	133004.77		-1		
279	139.9825137976683	1.1094127	13335726.0	8780689.0	11557418.75	13259890.0		26		
280	182.02935886228403	1.1423676	4332139.5	4467036.8	4085475.025	4075760.0		28		
281	210.02420920250069	1.1421533	1528334.1	1133439.025	1417507.875	1340919.6		281		
282	224.07622188893816	1.1488593	1938714.5	2045364.65	1922392.425	1702547.1		-1		
283	252.0711035348256	1.1488588	1733946.9	1812013.2	1784747.2	1581556.4		281		
284	182.02935507904968	1.1548883	4673213.5	4281993.05	4018717.025	3816006.8		28		
285	210.02423867898008	1.1531103	1656896.6	1446929.675	1374327.725	1409447.5		281		
286	137.98740438596954	1.1939228	2157136.8	2033879.175	1969649.25	2041444.0		31		
287	190.99328520735804	1.2431881	1209423.4	1294337.225	1142171.875	1480762.5		207		
288	147.06682671124327	1.2462146	327402.8	9136369.87	6030948.875	11071030.0		-1		
289	129.03713912176076	1.2444452	150319.88	5951693.125	3481331.5	6645370.5		-1		
290	168.04558674850628	1.2440611	0.0	3435462.675	1827913.775	3690215.0		28		
291	191.1214126655945	1.2434407	142815.55	5744078.57	3449637.375	5503549.0		191		
292	146.06353863076987	1.2445506	5063490.0	143029059.95	90190006.5	164096820.0		46		
293	163.09024546836568	1.2446855	0.0	2809162.4	1616606.2875	3451464.8		46		
294	184.01950920307115	1.245946	0.0	973128.8375	566218.68	1097756.6		28	294.0	3-hydroxybutyroyl glycine [M+Na]+
295	254.1611069146008	1.2497284	137974.08	893795.9125	802210.6599999999	966656.8		3		
296	139.98247182800878	1.2240376	10496505.0	8548888.5	9993661.0	9976061.0		26		
297	162.99838420057188	1.2959245	1282945.6	1224398.55	1136623.9	1270811.4		46		
298	151.0968461628144	1.2745525	332409.12	285222.6925	302134.53	307976.56		75		
299	178.12637168126477	1.2961972	197196.81	2489507.71	1665643.0625	1648758.6		46		
300	165.05857571848102	1.3023578	0.0	597748.145	237370.0875	291862.75		-1		
301	190.9932733306089	1.3114414	1508506.1	1077458.225	998862.575	1480762.5		207		
302	162.99843514436628	1.3251055	1282945.6	914530.0	841087.25	1270811.4		3		
303	226.0712383873897	1.3154246	0.0	775757.3150000001	481155.64	842818.94		52		
304	247.9150456649737	1.31805	1278060.4	1285208.25	1261569.7000000002	1243953.6		28		
305	210.0763938867264	1.3388706	136819.02	1229464.7	781930.525	1103403.4		52		
306	233.14973150462043	1.3593352	0.0	88060.845	934216.395	0.0		257	306.0	DIETHANOLAMINE
307	190.9933573023997	1.3713095	2076814.9	1155687.725	1307437.425	1557911.4		207		
308	137.98745619202657	1.3415357	2169522.2	1827443.2	1553594.1	0.0		31		
309	139.98251772974234	1.3303246	11242955.0	7513909.25	7739065.375	9668306.0		26		
310	275.11036131440665	1.3898749	0.0	1114433.925	416443.445	399268.38		218		
311	120.08117689158864	1.4063303	232897.22	1386840.8175	1221924.5750000002	1352670.5		-1		
